date,isin,desig,book,accrued,funding,pullToPar,carry,brokerFeePnl,cashTradingPnl,cashDelta,newBiz,estPnl,source
2026-03-17,CH6QICATVAZ0,James,CRB_James_3,1803.51,-2548.52,138.4,-606.61,478.53,8274.17,-11426.68,8752.7,-3280.59,RFQ_ST
2026-03-17,FRCBLSKRT059,Andy,CRB_Andy_1,1487.27,-2312.59,140.42,-684.9,-226.83,2216.67,-14817.6,1989.84,-13512.66,TRANSFER
2026-03-17,CHIRODXMO5B1,Anya,CRB_Anya_2,1132.82,-1431.34,193.03,-105.49,1130.13,-6933.55,1032.89,-5803.42,-4876.02,BROKER
2026-03-17,USOM5IGQPKI1,Andy,CRB_Andy_1,1290.48,-1052.33,382.91,621.06,-1325.09,-8956.15,-5415.43,-10281.24,-15075.61,UNTAGGED
2026-03-17,CH34DXTAD1I6,Emma,CRB_Emma_1,4420.56,-2907.21,-403.81,1109.54,-463.04,-1899.34,10932.77,-2362.38,9679.93,SWEEP
2026-03-17,CHR56FAO72K8,Andy,CRB_Andy_2,162.87,-175.29,-204.6,-217.02,1876.56,3545.79,-10223.57,5422.35,-5018.24,TRANSFER
2026-03-17,CHFK8UT0CVS8,James,CRB_James_3,980.9,-49.01,-247.55,684.34,-767.78,5030.53,-5837.49,4262.75,-890.4,TRANSFER
2026-03-17,DECS4CC5O7U9,Taylor,CRB_Taylor_2,4837.53,-2594.2,-406.37,1836.96,1819.1,-1231.73,8147.6,587.37,10571.93,RFQ_LT
2026-03-17,SEBCXULJYLJ2,Andy,CRB_Andy_3,1637.07,-625.17,-7.16,1004.74,-1498.34,-297.84,2337.61,-1796.18,1546.17,SWEEP
2026-03-17,JPQ77AWUDTS2,Andy,CRB_Andy_3,4710.87,-302.9,414.62,4822.59,822.93,5511.6,2080.17,6334.53,13237.29,BROKER
2026-03-17,CA55NF4ZW9X0,Taylor,CRB_Taylor_1,3052.29,-811.69,9.63,2250.23,-337.87,1646.66,-4008.24,1308.79,-449.22,SWEEP
2026-03-17,NLKX7EEDTJV5,Andy,CRB_Andy_1,2030.38,-1619.87,-254.97,155.54,-1417.69,3740.31,-9823.33,2322.62,-7345.17,UNTAGGED
2026-03-17,FRY4SJ6BW3B5,Alexander,CRB_Alexander_1,1346.49,-2050.63,62.82,-641.32,-353.03,-7212.74,4685.86,-7565.77,-3521.23,UNTAGGED
2026-03-17,DEWJ0TPAC568,Anya,CRB_Anya_2,3595.17,-2979.77,-104.68,510.72,-880.04,2618.06,-192.48,1738.02,2056.26,RFQ_LT
2026-03-17,US4UFEL62463,Alexander,CRB_Alexander_1,3342.96,-1585.19,-243.32,1514.45,-1137.24,-8420.22,9687.61,-9557.46,1644.6,VOICE
2026-03-17,FRYMU5907IF2,Anya,CRB_Anya_1,3003.49,-1942.36,89.87,1151.0,1798.31,2325.49,-9622.74,4123.8,-4347.94,RFQ_ST
2026-03-17,AUA0L7253J21,Taylor,CRB_Taylor_3,553.46,-1849.33,332.42,-963.45,281.3,1509.23,-14727.46,1790.53,-13900.38,PT
2026-03-17,AU54I3QK2IA3,James,CRB_James_2,3347.76,-2143.93,-372.31,831.52,-780.73,-2338.14,-14114.54,-3118.87,-16401.89,RFQ_LT
2026-03-17,AUL58KXO9T71,Emma,CRB_Emma_2,976.86,-1210.34,-19.35,-252.83,625.12,-1256.34,14550.82,-631.22,13666.77,PT
2026-03-17,JPG8JDP0LVS6,Anya,CRB_Anya_1,1727.87,-2862.84,-243.89,-1378.86,-1007.97,8862.48,-13790.28,7854.51,-7314.63,UNTAGGED
2026-03-17,SEGBPS3Y70H6,Anya,CRB_Anya_1,4884.51,-124.29,220.27,4980.49,-491.85,8602.95,8619.8,8111.1,21711.39,TRANSFER
2026-03-17,GB87WXE6SYL4,Andy,CRB_Andy_2,2020.0,-1425.7,18.36,612.66,-1545.42,7437.45,-13272.06,5892.03,-6767.37,VOICE
2026-03-17,NLEP7Y6WKTA4,James,CRB_James_2,496.92,-796.78,184.3,-115.56,754.55,-9038.58,-3388.88,-8284.03,-11788.47,PT
2026-03-17,FRPUXQPHR622,Andy,CRB_Andy_3,4552.85,-2203.68,-307.91,2041.26,-923.84,7390.16,-8598.24,6466.32,-90.66,BROKER
2026-03-17,GBKXWD8IL3F0,Taylor,CRB_Taylor_1,1271.74,-1514.55,25.95,-216.86,-462.87,-8740.58,-20.54,-9203.45,-9440.85,SWEEP
2026-03-17,FR9W1Q5UZNO2,Alexander,CRB_Alexander_2,258.42,-239.57,188.79,207.64,131.37,3147.2,-272.44,3278.57,3213.77,BROKER
2026-03-17,US6452H2ZQU1,James,CRB_James_2,4577.51,-1432.56,291.97,3436.92,-1467.47,-2235.33,1597.61,-3702.8,1331.73,SWEEP
2026-03-17,CHEQTUL1P366,Andy,CRB_Andy_1,3959.4,-2791.13,158.73,1327.0,1733.39,-4155.3,-1167.94,-2421.91,-2262.85,UNTAGGED
2026-03-17,NLQF5Q14J1R3,Emma,CRB_Emma_2,3105.03,-471.18,-144.14,2489.71,-243.64,5161.7,8568.52,4918.06,15976.29,SWEEP
2026-03-17,JPPZIM6CFNF3,Alexander,CRB_Alexander_1,779.99,-1411.42,104.56,-526.87,-1810.4,-3798.74,-1405.44,-5609.14,-7541.45,PT
2026-03-17,GBOLQC3O18A9,Taylor,CRB_Taylor_2,2797.58,-2500.02,139.56,437.12,-480.82,5335.26,11637.05,4854.44,16928.61,PT
2026-03-17,AUR7KO64T023,Emma,CRB_Emma_1,3581.45,-2659.73,-91.44,830.28,-1226.12,3549.53,-5493.85,2323.41,-2340.16,RFQ_ST
2026-03-17,CHHPBMYOFQE9,James,CRB_James_3,4149.64,-2447.47,-342.65,1359.52,1100.16,6657.83,13553.46,7757.99,22670.97,TRANSFER
2026-03-17,NLAOUAXEQBN3,Emma,CRB_Emma_1,548.02,-1933.71,-32.22,-1417.91,-948.87,5787.0,-5237.26,4838.13,-1817.04,UNTAGGED
2026-03-17,CHL1N13JCAT5,Anya,CRB_Anya_1,1494.91,-1495.41,188.2,187.7,567.87,-5227.63,-4414.97,-4659.76,-8887.03,RFQ_LT
2026-03-17,FRX2X18HAFE1,James,CRB_James_3,4440.77,-608.34,-173.88,3658.55,1417.7,-9673.17,5252.39,-8255.47,655.47,VOICE
2026-03-17,SE8QJNV8Z2F4,Emma,CRB_Emma_1,4281.46,-156.73,276.67,4401.4,-987.4,8740.17,4094.16,7752.77,16248.33,UNTAGGED
2026-03-17,GBU7U6N7HV33,Andy,CRB_Andy_1,3432.14,-1499.97,297.93,2230.1,993.04,7515.16,-955.92,8508.2,9782.38,BROKER
2026-03-17,GBZKY22UBTX1,Emma,CRB_Emma_1,1610.72,-1878.78,-211.39,-479.45,-1630.03,-7678.79,-2360.82,-9308.82,-12149.09,TRANSFER
2026-03-17,NLXAPRPN6QF2,Taylor,CRB_Taylor_1,2169.23,-791.05,-209.07,1169.11,-1124.02,5392.5,-14035.62,4268.48,-8598.03,BROKER
2026-03-17,NL8J3TRP0J41,Anya,CRB_Anya_2,3950.68,-2328.2,16.76,1639.24,1733.74,-5493.2,-10282.28,-3759.46,-12402.5,VOICE
2026-03-17,JP5IQVNB4GH4,Emma,CRB_Emma_1,4164.36,-1516.3,-215.42,2432.64,-895.55,-16.32,-13940.5,-911.87,-12419.73,UNTAGGED
2026-03-17,CAKV5USGIOT3,Anya,CRB_Anya_1,4792.8,-533.43,-279.97,3979.4,170.55,5478.61,7234.36,5649.16,16862.92,BROKER
2026-03-17,CHXR2DHYLUR8,Taylor,CRB_Taylor_3,3550.57,-1030.33,391.67,2911.91,830.74,1971.69,1752.1,2802.43,7466.44,RFQ_LT
2026-03-17,CAP0LZJJEGE8,Emma,CRB_Emma_2,560.44,-1285.34,-31.31,-756.21,-1319.06,1156.26,-14865.73,-162.8,-15784.74,SWEEP
2026-03-17,DEG0JV1V93K5,Anya,CRB_Anya_2,2069.14,-66.92,-0.03,2002.19,-673.91,4351.37,7280.49,3677.46,12960.14,SWEEP
2026-03-17,DEKZEBBK7W11,Alexander,CRB_Alexander_2,1795.05,-2880.04,410.31,-674.68,-533.37,8091.38,9287.91,7558.01,16171.24,RFQ_LT
2026-03-17,USUQPGB7R3O1,Anya,CRB_Anya_1,3761.2,-44.13,-46.43,3670.64,665.09,-8232.33,1198.34,-7567.24,-2698.26,PT
2026-03-17,SEWBFUK9E1V9,Emma,CRB_Emma_1,1501.82,-631.37,-25.19,845.26,-1322.61,-4256.83,-1594.56,-5579.44,-6328.74,VOICE
2026-03-17,FR1N6KVPUC81,Taylor,CRB_Taylor_2,2117.69,-1306.45,-216.4,594.84,-1441.15,8939.45,-12489.89,7498.3,-4396.75,VOICE
2026-03-17,FRWJCITFOYQ0,Alexander,CRB_Alexander_2,1293.06,-419.64,147.69,1021.11,836.55,8209.4,8151.22,9045.95,18218.28,PT
2026-03-17,FRKK4CIJ2V23,Taylor,CRB_Taylor_2,1718.1,-714.37,420.62,1424.35,1155.07,1060.13,-12938.77,2215.2,-9299.22,RFQ_ST
2026-03-17,AUEIFJFC2V34,Anya,CRB_Anya_2,474.89,-819.26,165.7,-178.67,1997.83,-3768.65,-2485.81,-1770.82,-4435.3,TRANSFER
2026-03-17,CHEYZ7SRCBP5,Andy,CRB_Andy_2,1537.62,-1080.05,-94.71,362.86,398.85,-3043.25,12838.91,-2644.4,10557.37,SWEEP
2026-03-17,SEJD84U89YJ0,Taylor,CRB_Taylor_1,4396.43,-468.26,171.46,4099.63,371.35,-3379.68,11250.96,-3008.33,12342.26,VOICE
2026-03-17,DEQX6GVWRDM5,Alexander,CRB_Alexander_1,1071.1,-870.1,103.92,304.92,954.05,-4153.98,8768.73,-3199.93,5873.72,SWEEP
2026-03-17,CAY4LYK83TQ5,Andy,CRB_Andy_2,341.19,-1929.47,213.4,-1374.88,1802.94,2837.68,-6475.49,4640.62,-3209.75,VOICE
2026-03-17,JPL8OS9XTOG5,Anya,CRB_Anya_2,3461.09,-1674.38,281.14,2067.85,-96.67,-4063.28,3705.33,-4159.95,1613.23,UNTAGGED
2026-03-17,SE1W1HT7PZE9,Andy,CRB_Andy_3,1983.72,-1421.67,-175.57,386.48,-1616.6,-4399.05,10727.61,-6015.65,5098.44,VOICE
2026-03-17,FRZLAOI4E8X2,Alexander,CRB_Alexander_2,1593.25,-2579.78,-115.58,-1102.11,243.83,-4305.25,-5013.34,-4061.42,-10176.87,PT
2026-03-17,CH7KZORQQFG9,Taylor,CRB_Taylor_3,977.57,-2721.17,-18.69,-1762.29,-0.54,7977.59,-4149.29,7977.05,2065.47,TRANSFER
2026-03-17,NL0EC14M2JA4,Emma,CRB_Emma_1,3185.14,-524.27,-379.84,2281.03,586.37,-2244.0,-13115.31,-1657.63,-12491.91,VOICE
2026-03-17,SEUX5QRL1N73,Taylor,CRB_Taylor_1,542.23,-995.1,-144.21,-597.08,1250.79,9949.77,1887.75,11200.56,12491.23,SWEEP
2026-03-17,FRUI1B0Z3NX2,Emma,CRB_Emma_1,4432.0,-2640.51,187.89,1979.38,-63.81,-5230.56,12488.26,-5294.37,9173.27,RFQ_ST
2026-03-17,CH8E8LD4D6A2,Emma,CRB_Emma_1,2752.73,-1537.79,-421.73,793.21,714.25,6253.47,-10498.33,6967.72,-2737.4,RFQ_ST
2026-03-17,AU58C2JWOCL8,Andy,CRB_Andy_3,4052.23,-956.1,132.09,3228.22,-372.3,2238.69,-1164.29,1866.39,3930.32,RFQ_ST
2026-03-17,AU8W5RTWIYK3,James,CRB_James_2,942.93,-480.52,299.41,761.82,-1674.61,-5907.14,11679.25,-7581.75,4859.32,VOICE
2026-03-17,GBPDW5PY6B24,James,CRB_James_3,1020.59,-606.73,-220.54,193.32,-1566.25,-641.71,-8187.77,-2207.96,-10202.41,SWEEP
2026-03-17,CANFTU2GC5W3,Anya,CRB_Anya_2,668.81,-2953.68,-79.3,-2364.17,1658.53,-16.15,-2636.71,1642.38,-3358.5,SWEEP
2026-03-17,CH6FQJJA26Y2,Emma,CRB_Emma_2,3503.0,-1272.73,298.88,2529.15,-605.3,-1125.71,630.47,-1731.01,1428.61,PT
2026-03-17,GBPMVXPJ4HN7,Emma,CRB_Emma_1,1034.21,-1440.83,354.53,-52.09,-77.23,5533.49,-7883.83,5456.26,-2479.66,TRANSFER
2026-03-17,GBIUU9K9XJU0,Anya,CRB_Anya_2,415.05,-1317.09,140.29,-761.75,760.93,1483.27,-1868.68,2244.2,-386.23,SWEEP
2026-03-17,SE0361I2HGJ2,Emma,CRB_Emma_1,1370.67,-1842.69,-480.96,-952.98,1032.92,-7316.36,3766.13,-6283.44,-3470.29,RFQ_ST
2026-03-17,GB6XLPU0DK02,Taylor,CRB_Taylor_3,2584.55,-1099.49,254.17,1739.23,-390.92,-8798.6,7766.67,-9189.52,316.38,VOICE
2026-03-17,FRET8T63J3R4,Emma,CRB_Emma_1,1998.25,-2730.65,20.87,-711.53,-1584.73,-7986.91,5643.47,-9571.64,-4639.7,RFQ_LT
2026-03-17,CA2QC1IYYO48,Alexander,CRB_Alexander_2,4870.24,-1356.55,63.24,3576.93,-95.49,7463.54,13370.29,7368.05,24315.27,RFQ_LT
2026-03-17,CADOJEN0JNW5,Andy,CRB_Andy_1,4418.26,-1701.86,-311.11,2405.29,-571.86,-7899.19,-936.74,-8471.05,-7002.5,SWEEP
2026-03-17,GBYQW7LVXWQ4,Taylor,CRB_Taylor_2,3043.22,-1590.36,-471.25,981.61,-1793.13,-7017.05,-8808.26,-8810.18,-16636.83,UNTAGGED
2026-03-17,AUEBB9EITNN8,Emma,CRB_Emma_2,2571.23,-81.31,142.78,2632.7,-1097.06,-7246.46,11414.19,-8343.52,5703.37,TRANSFER
2026-03-17,AUV05X4W7KY3,Anya,CRB_Anya_1,165.66,-2086.45,-23.48,-1944.27,1343.94,5179.71,-5600.27,6523.65,-1020.89,SWEEP
2026-03-17,CHQIN9N6XCJ1,Alexander,CRB_Alexander_1,247.58,-1966.01,-450.73,-2169.16,1252.27,6546.95,-13931.17,7799.22,-8301.11,RFQ_LT
2026-03-17,CHDHX8BM92H8,Alexander,CRB_Alexander_1,887.72,-185.27,350.22,1052.67,1076.13,-2799.89,12878.06,-1723.76,12206.97,RFQ_LT
2026-03-17,FRV3I12VJ998,Andy,CRB_Andy_3,1842.04,-1275.92,-219.8,346.32,-1663.63,730.8,-3481.05,-932.83,-4067.56,BROKER
2026-03-17,JP2D5EM2VAJ2,James,CRB_James_2,3000.5,-2816.75,166.53,350.28,-1754.95,7585.34,3748.33,5830.39,9929.0,RFQ_LT
2026-03-17,AUS0R2SDS8B8,Andy,CRB_Andy_3,3592.03,-17.8,97.01,3671.24,-433.97,-6690.97,-10100.68,-7124.94,-13554.38,SWEEP
2026-03-17,JPQ8CROYR6C1,Emma,CRB_Emma_1,1587.76,-2571.53,315.34,-668.43,1615.98,3829.89,-8149.3,5445.87,-3371.86,VOICE
2026-03-18,GBAJI0Y6DPB3,Anya,CRB_Anya_2,1094.63,-2448.34,-209.82,-1563.53,785.43,-8363.95,6598.74,-7578.52,-2543.31,RFQ_LT
2026-03-18,FRSAHXTHV3A2,Emma,CRB_Emma_1,1019.36,-2895.94,460.97,-1415.61,194.75,9502.18,14274.82,9696.93,22556.14,BROKER
2026-03-18,AUMF8MDD4V37,Taylor,CRB_Taylor_2,1103.45,-233.46,28.91,898.9,844.71,-3126.64,11286.88,-2281.93,9903.85,RFQ_ST
2026-03-18,NLE7CKW5NGC3,James,CRB_James_1,4423.86,-533.78,30.63,3920.71,-1568.35,7333.55,8496.94,5765.2,18182.85,BROKER
2026-03-18,JP945NQ4FMY1,Taylor,CRB_Taylor_2,1512.02,-2794.96,409.54,-873.4,-1274.22,-28.61,-2031.2,-1302.83,-4207.43,VOICE
2026-03-18,SEWTIQJ7YHL0,Emma,CRB_Emma_1,468.68,-819.55,-378.15,-729.02,-69.98,2283.33,14890.58,2213.35,16374.91,RFQ_LT
2026-03-18,FR32OC6UZHR7,Emma,CRB_Emma_1,2059.78,-774.94,-425.67,859.17,-552.79,7621.61,-12091.66,7068.82,-4163.67,PT
2026-03-18,DEJIUJV6OH98,Alexander,CRB_Alexander_2,3596.03,-598.78,209.35,3206.6,-622.88,8064.0,12134.11,7441.12,22781.83,UNTAGGED
2026-03-18,CHDBDW2PCN98,Anya,CRB_Anya_1,1105.25,-2882.59,108.05,-1669.29,-1200.94,-5166.17,-5865.05,-6367.11,-13901.45,UNTAGGED
2026-03-18,JP84AZYTJXE6,Andy,CRB_Andy_1,2444.69,-97.5,52.6,2399.79,-1610.41,4511.33,-7129.87,2900.92,-1829.16,BROKER
2026-03-18,DEQ85JSG65K8,Taylor,CRB_Taylor_1,3271.19,-915.8,67.15,2422.54,1901.47,998.62,-5752.29,2900.09,-429.66,SWEEP
2026-03-18,SEHNF877VRE5,James,CRB_James_3,3383.4,-2491.98,-353.32,538.1,183.25,3569.48,1716.17,3752.73,6007.0,PT
2026-03-18,JPIIUC039TE7,Taylor,CRB_Taylor_3,780.61,-2834.74,293.44,-1760.69,723.41,-8514.66,-11072.58,-7791.25,-20624.52,PT
2026-03-18,NLFSV871YZO5,Alexander,CRB_Alexander_1,2533.38,-1261.57,-121.33,1150.48,117.17,3841.71,14240.06,3958.88,19349.42,UNTAGGED
2026-03-18,CH6QICATVAZ0,James,CRB_James_3,3286.9,-999.11,-148.85,2138.94,1755.06,-3789.77,4787.2,-2034.71,4891.43,RFQ_ST
2026-03-18,FRCBLSKRT059,Andy,CRB_Andy_1,4113.98,-2426.06,-146.19,1541.73,-1208.91,-2507.06,6401.22,-3715.97,4226.98,TRANSFER
2026-03-18,CHIRODXMO5B1,Anya,CRB_Anya_2,2878.52,-1515.67,-11.44,1351.41,818.23,-9160.78,-3307.96,-8342.55,-10299.1,RFQ_ST
2026-03-18,USOM5IGQPKI1,Andy,CRB_Andy_1,3527.92,-1422.2,441.97,2547.69,-408.62,6075.35,-6529.97,5666.73,1684.45,UNTAGGED
2026-03-18,CH34DXTAD1I6,Emma,CRB_Emma_1,4193.93,-1830.96,-401.31,1961.66,199.73,-942.9,3876.77,-743.17,5095.26,RFQ_LT
2026-03-18,CHR56FAO72K8,Andy,CRB_Andy_2,292.34,-1764.79,75.83,-1396.62,1989.94,-1897.17,1486.24,92.77,182.39,UNTAGGED
2026-03-18,CHFK8UT0CVS8,James,CRB_James_3,2621.34,-436.05,-220.38,1964.91,1623.52,-4087.36,-11120.96,-2463.84,-11619.89,VOICE
2026-03-18,DECS4CC5O7U9,Taylor,CRB_Taylor_2,2667.14,-1788.42,16.8,895.52,1866.86,4726.48,-5755.82,6593.34,1733.04,BROKER
2026-03-18,SEBCXULJYLJ2,Andy,CRB_Andy_3,1264.43,-2104.26,-409.54,-1249.37,-1689.13,7861.92,11462.93,6172.79,16386.35,BROKER
2026-03-18,JPQ77AWUDTS2,Andy,CRB_Andy_3,4156.9,-627.14,360.25,3890.01,-10.17,-8856.27,6992.6,-8866.44,2016.17,RFQ_LT
2026-03-18,CA55NF4ZW9X0,Taylor,CRB_Taylor_1,1297.09,-1277.61,226.67,246.15,924.77,-176.11,-9073.42,748.66,-8078.61,SWEEP
2026-03-18,NLKX7EEDTJV5,Andy,CRB_Andy_1,2978.18,-315.26,-494.01,2168.91,398.11,362.6,894.86,760.71,3824.48,PT
2026-03-18,FRY4SJ6BW3B5,Alexander,CRB_Alexander_1,4416.16,-2742.14,42.58,1716.6,307.39,-4948.72,2119.67,-4641.33,-805.06,VOICE
2026-03-18,DEWJ0TPAC568,Anya,CRB_Anya_2,3091.64,-2730.05,335.59,697.18,-1350.99,3440.44,12236.81,2089.45,15023.44,BROKER
2026-03-18,US4UFEL62463,Alexander,CRB_Alexander_1,2467.83,-268.96,285.07,2483.94,1038.63,-4835.1,-10255.58,-3796.47,-11568.11,UNTAGGED
2026-03-18,FRYMU5907IF2,Anya,CRB_Anya_1,972.39,-692.85,203.98,483.52,-329.81,-7079.27,-6383.7,-7409.08,-13309.26,TRANSFER
2026-03-18,AUA0L7253J21,Taylor,CRB_Taylor_3,4511.17,-282.31,437.55,4666.41,1341.87,-9680.08,-9872.3,-8338.21,-13544.1,BROKER
2026-03-18,AU54I3QK2IA3,James,CRB_James_2,2831.56,-1714.79,-197.5,919.27,-278.64,7686.84,-13845.21,7408.2,-5517.74,SWEEP
2026-03-18,AUL58KXO9T71,Emma,CRB_Emma_2,487.58,-1452.89,231.2,-734.11,-651.5,2610.82,6947.97,1959.32,8173.18,SWEEP
2026-03-18,JPG8JDP0LVS6,Anya,CRB_Anya_1,2495.98,-34.51,476.48,2937.95,1896.59,-6857.5,13225.34,-4960.91,11202.38,TRANSFER
2026-03-18,SEGBPS3Y70H6,Anya,CRB_Anya_1,2061.96,-2460.92,-341.44,-740.4,1226.22,4114.13,5145.72,5340.35,9745.67,PT
2026-03-18,GB87WXE6SYL4,Andy,CRB_Andy_2,3243.52,-1005.41,256.71,2494.82,712.25,2439.67,2153.62,3151.92,7800.36,UNTAGGED
2026-03-18,NLEP7Y6WKTA4,James,CRB_James_2,2586.39,-2841.37,370.0,115.02,445.63,-7582.75,2421.44,-7137.12,-4600.66,VOICE
2026-03-18,FRPUXQPHR622,Andy,CRB_Andy_3,2160.02,-2110.44,-67.83,-18.25,-525.1,-7329.25,-6676.54,-7854.35,-14549.14,UNTAGGED
2026-03-18,GBKXWD8IL3F0,Taylor,CRB_Taylor_1,2127.45,-1269.65,-159.81,697.99,276.18,-6704.38,-6321.74,-6428.2,-12051.95,TRANSFER
2026-03-18,FR9W1Q5UZNO2,Alexander,CRB_Alexander_2,1562.29,-11.94,-313.2,1237.15,1071.56,-3614.4,-4458.42,-2542.84,-5764.11,RFQ_LT
2026-03-18,US6452H2ZQU1,James,CRB_James_2,4508.97,-1245.4,236.93,3500.5,399.12,-6264.0,-1616.09,-5864.88,-3980.47,RFQ_ST
2026-03-18,CHEQTUL1P366,Andy,CRB_Andy_1,1797.33,-376.76,-336.24,1084.33,-502.84,-8580.0,5017.67,-9082.84,-2980.84,VOICE
2026-03-18,NLQF5Q14J1R3,Emma,CRB_Emma_2,364.75,-2723.11,-33.82,-2392.18,-85.17,9094.08,-7764.45,9008.91,-1147.72,UNTAGGED
2026-03-18,JPPZIM6CFNF3,Alexander,CRB_Alexander_1,3110.15,-44.74,-339.81,2725.6,1562.29,6214.25,-3229.08,7776.54,7273.06,TRANSFER
2026-03-18,GBOLQC3O18A9,Taylor,CRB_Taylor_2,2880.62,-2338.12,355.06,897.56,-219.6,1070.25,1361.86,850.65,3110.07,SWEEP
2026-03-18,AUR7KO64T023,Emma,CRB_Emma_1,3323.9,-1387.74,375.6,2311.76,-1844.88,-7645.87,-2491.4,-9490.75,-9670.39,RFQ_ST
2026-03-18,CHHPBMYOFQE9,James,CRB_James_3,3325.64,-315.56,-301.84,2708.24,-373.9,-848.43,-8009.64,-1222.33,-6523.73,VOICE
2026-03-18,NLAOUAXEQBN3,Emma,CRB_Emma_1,1698.66,-2802.99,-329.04,-1433.37,-884.22,-1813.05,3188.13,-2697.27,-942.51,PT
2026-03-18,CHL1N13JCAT5,Anya,CRB_Anya_1,1397.86,-766.54,391.94,1023.26,1422.08,-904.0,6466.24,518.08,8007.58,RFQ_ST
2026-03-18,FRX2X18HAFE1,James,CRB_James_3,552.27,-858.87,464.22,157.62,-550.18,-7016.29,-9571.69,-7566.47,-16980.54,VOICE
2026-03-18,SE8QJNV8Z2F4,Emma,CRB_Emma_1,539.82,-1520.02,184.23,-795.97,810.9,-9542.25,12422.99,-8731.35,2895.67,BROKER
2026-03-18,GBU7U6N7HV33,Andy,CRB_Andy_1,4736.49,-2363.54,-82.88,2290.07,-966.23,1814.78,6223.87,848.55,9362.49,SWEEP
2026-03-18,GBZKY22UBTX1,Emma,CRB_Emma_1,635.71,-1051.03,201.18,-214.14,-85.03,-3230.38,-6315.69,-3315.41,-9845.24,UNTAGGED
2026-03-18,NLXAPRPN6QF2,Taylor,CRB_Taylor_1,552.09,-16.2,28.02,563.91,775.14,-8985.95,2725.8,-8210.81,-4921.1,RFQ_ST
2026-03-18,NL8J3TRP0J41,Anya,CRB_Anya_2,1107.65,-852.37,248.73,504.01,239.18,2199.07,-5416.04,2438.25,-2473.78,SWEEP
2026-03-18,JP5IQVNB4GH4,Emma,CRB_Emma_1,3524.87,-2104.05,354.45,1775.27,161.6,-7009.59,5137.19,-6847.99,64.47,RFQ_ST
2026-03-18,CAKV5USGIOT3,Anya,CRB_Anya_1,2019.41,-1857.88,415.71,577.24,1276.22,6141.91,11534.93,7418.13,19530.3,UNTAGGED
2026-03-18,CHXR2DHYLUR8,Taylor,CRB_Taylor_3,2906.87,-463.35,45.13,2488.65,-99.24,-406.81,1867.03,-506.05,3849.63,RFQ_ST
2026-03-18,CAP0LZJJEGE8,Emma,CRB_Emma_2,114.82,-2441.28,-432.85,-2759.31,-855.56,-5245.45,13601.78,-6101.01,4741.46,UNTAGGED
2026-03-18,DEG0JV1V93K5,Anya,CRB_Anya_2,1253.41,-2706.21,11.64,-1441.16,1910.97,-5281.44,14682.08,-3370.47,9870.45,TRANSFER
